run_prevention_rank,pitcher_name,team,appearances,pitches,runs_allowed,outs_recorded,innings_pitched,runs_per_9,reliability,adjusted_runs_per_9,run_prevention_score
324,"Phillips, Connor",Cincinnati Reds,25,547,22,83,27.666666666666668,7.156626506024097,0.5555555555555556,6.135230975987117,28.870374841315055
325,"Matz, Steven",Tampa Bay Rays,15,332,18,62,20.666666666666668,7.838709677419355,0.42857142857142855,6.135725040860233,28.861745719776284
326,"Maxwell, Zach",Cincinnati Reds,12,293,12,39,13.0,8.307692307692308,0.375,6.151938717535173,28.57856471616462
327,"Morgan, David",San Diego Padres,19,424,19,68,22.666666666666668,7.5441176470588225,0.48717948717948717,6.166870937511165,28.317765076223168
328,"Sands, Cole",Minnesota Twins,13,209,11,36,12.0,8.25,0.3939393939393939,6.194537311176298,27.83455626320318
329,"Erceg, Lucas",Kansas City Royals,47,832,33,131,43.66666666666666,6.801526717557252,0.7014925373134329,6.22151473125386,27.36338041298869
330,"Lovelady, Richard",Washington Nationals,22,296,13,47,15.666666666666666,7.468085106382978,0.5238095238095238,6.225419133553412,27.295187825714528
331,"Maton, Phil",Chicago Cubs,31,546,22,83,27.666666666666668,7.156626506024097,0.6078431372549019,6.255395155991467,26.771639694807604
332,"Topa, Justin",Minnesota Twins,23,359,16,57,19.0,7.578947368421052,0.5348837209302325,6.313616761453535,25.754766532897722
333,"Sterner, Justin",Athletics,46,730,33,128,42.66666666666666,6.9609375,0.696969696969697,6.323831155588149,25.576366380957115
334,"Kuhnel, Joel",Milwaukee Brewers,10,196,10,29,9.666666666666666,9.310344827586208,0.3333333333333333,6.342439318155997,25.251364331330894
335,"Doval, Camilo",New York Yankees,44,681,31,119,39.66666666666666,7.033613445378151,0.6875,6.3538862947727575,25.051436431469437
336,"Juenger, Hayden",Athletics,13,245,14,43,14.333333333333334,8.790697674418604,0.3939393939393939,6.407539425341202,24.11435425906106
337,"King, Bryan",Houston Astros,50,896,41,157,52.333333333333336,7.050955414012738,0.7142857142857143,6.424535742420782,23.817503999567684
338,"Borucki, Ryan",San Francisco Giants,21,385,21,71,23.666666666666668,7.985915492957746,0.5121951219512195,6.460340405388549,23.19215537590475
339,"Silseth, Chase",Los Angeles Angels,47,736,32,119,39.66666666666666,7.260504201680672,0.7014925373134329,6.543484011161334,21.740005428754213
